Ê±¼ä,Ch0,Ch1,Ch2,Ch3
D:H:M:S,,,,
12:19:47:40,0.120146,0.000000,0.000667,0.253131
12:19:47:40,0.116809,0.000000,-0.001335,0.000000
12:19:47:40,0.113472,0.003337,0.002670,0.506117
12:19:47:40,0.106797,0.003337,0.001335,0.379642
12:19:47:40,0.100122,0.003337,0.001335,0.506117
12:19:47:40,0.090110,0.003337,0.001335,0.379642
12:19:47:40,0.086772,-0.003337,-0.000667,-0.126710
12:19:47:40,0.083435,-0.006675,-0.002670,-0.380163
12:19:47:40,0.100122,0.003337,0.000000,0.126583
12:19:47:40,0.100122,0.003337,0.003337,0.758958
12:19:47:40,0.096785,0.000000,0.000000,0.253131
12:19:47:40,0.086772,-0.006675,-0.002670,-0.380163
12:19:47:40,0.076760,-0.003337,-0.002002,-0.126710
12:19:47:40,0.066748,0.000000,-0.001335,0.000000
12:19:47:40,0.070085,0.000000,0.000667,0.253131
12:19:47:40,0.053398,-0.003337,-0.001335,-0.253431
12:19:47:40,0.050061,0.003337,-0.000667,0.126583
12:19:47:40,0.050061,0.003337,0.000000,0.253131
12:19:47:40,0.036711,0.000000,-0.000667,0.126583
12:19:47:40,0.033374,0.003337,0.000667,0.379642
12:19:47:40,0.026699,-0.003337,-0.001335,-0.126710
12:19:47:40,0.026699,-0.003337,-0.002002,-0.253431
12:19:47:40,0.023362,0.003337,0.000667,0.253131
12:19:47:40,0.023362,0.006675,0.002002,0.506117
12:19:47:40,0.023362,-0.003337,-0.001335,-0.126710
12:19:47:40,0.020024,0.000000,0.000667,0.253131
12:19:47:40,0.013350,0.000000,-0.001335,0.000000
12:19:47:40,0.013350,0.000000,-0.000667,0.126583
12:19:47:40,0.010012,-0.003337,-0.000667,0.000000
12:19:47:40,0.016687,0.003337,0.000667,0.126583
12:19:47:40,0.000000,-0.003337,-0.002002,-0.253431
12:19:47:40,0.003337,0.000000,0.000000,0.253131
12:19:47:40,0.003337,0.000000,-0.000667,0.000000
12:19:47:40,-0.003337,0.000000,0.000000,0.126583
12:19:47:40,-0.013350,0.000000,-0.000667,0.126583
12:19:47:40,-0.026699,0.003337,0.000667,0.253131
12:19:47:40,-0.040049,0.000000,-0.001335,0.000000
12:19:47:40,-0.053398,0.003337,0.000000,0.379642
12:19:47:40,-0.070085,0.003337,0.000000,0.126583
12:19:47:40,-0.076760,0.003337,0.001335,0.379642
12:19:47:40,-0.093447,-0.003337,-0.002670,-0.380163
12:19:47:40,-0.090110,0.003337,0.000667,0.379642
12:19:47:40,-0.093447,-0.003337,-0.001335,-0.380163
12:19:47:40,-0.090110,0.003337,0.000667,0.379642
12:19:47:40,-0.090110,0.000000,-0.000667,0.126583
12:19:47:40,-0.080098,0.003337,0.002002,0.506117
12:19:47:40,-0.093447,-0.003337,-0.000667,0.000000
12:19:47:40,-0.093447,0.006675,0.002002,0.506117
12:19:47:40,-0.110134,-0.003337,-0.001335,-0.126710
12:19:47:40,-0.106797,0.003337,0.001335,0.379642
12:19:47:40,-0.120146,0.000000,-0.001335,-0.126710
12:19:47:40,-0.116809,0.006675,0.001335,0.379642
12:19:47:40,-0.126821,0.000000,-0.002670,-0.253431
12:19:47:40,-0.116809,0.010012,0.003337,1.011655
12:19:47:40,-0.126821,-0.003337,0.000000,0.126583
12:19:47:40,-0.126821,0.003337,0.001335,0.379642
12:19:47:40,-0.130159,0.000000,-0.001335,-0.126710
12:19:47:40,-0.130159,0.000000,0.000000,0.126583
