粉尘名称：
粉尘粒径：
粉尘含水量：

初始含氧量：
初始压力：
测试浓度：
点火能量：
反应器体积：0.000Lt1Pmax=0.628149,t=0.274700S(dp/dt)max=698.164321/S  kst=698.164321.m/St2Pmax=0.631058,t=0.274700S(dp/dt)max=815.362646/S  kst=815.362646.m/St3Pmax=0.636721,t=0.324900S(dp/dt)max=947.061579/S  kst=947.061579.m/S时间	t1	t2	t3	t4
D:H:M:S				
01:08:00:00	-0.075493	-0.077839	-0.079591	-0.080925
01:08:00:00	-0.079280	-0.077621	-0.083907	-0.081509
01:08:00:00	-0.082129	-0.084386	-0.076302	-0.078002
01:08:00:00	-0.079669	-0.074924	-0.075186	-0.078956
01:08:00:00	-0.082627	-0.075684	-0.080677	-0.079310
01:08:00:00	-0.080515	-0.083815	-0.078347	-0.077861
01:08:00:00	-0.079116	-0.084097	-0.074869	-0.083274
01:08:00:00	-0.077517	-0.078851	-0.075103	-0.075289
01:08:00:00	-0.080319	-0.080540	-0.082303	-0.081744
01:08:00:00	-0.075660	-0.083630	-0.077071	-0.079088
01:08:00:00	-0.077043	-0.076628	-0.079956	-0.081554
01:08:00:00	-0.077925	-0.083024	-0.076359	-0.076283
01:08:00:00	-0.079094	-0.078444	-0.080499	-0.082495
01:08:00:00	-0.076425	-0.075330	-0.075620	-0.081415
01:08:00:00	-0.081551	-0.078823	-0.077148	-0.079447
01:08:00:00	-0.076390	-0.080420	-0.079013	-0.080086
01:08:00:00	-0.076484	-0.078430	-0.080884	-0.081956
01:08:00:00	-0.082373	-0.084523	-0.074678	-0.077981
01:08:00:00	-0.076079	-0.083589	-0.083239	-0.076685
01:08:00:00	-0.079713	-0.081304	-0.075301	-0.075463
01:08:00:00	-0.074616	-0.080143	-0.080567	-0.082892
01:08:00:00	-0.084231	-0.079750	-0.080874	-0.075094
01:08:00:00	-0.079827	-0.077497	-0.082804	-0.080075
01:08:00:00	-0.075745	-0.081096	-0.084494	-0.079589
01:08:00:00	-0.078892	-0.084220	-0.077041	-0.081128
01:08:00:00	-0.080807	-0.077804	-0.079440	-0.084367
01:08:00:00	-0.075940	-0.075467	-0.081306	-0.078114
01:08:00:00	-0.075637	-0.076651	-0.075274	-0.080309
01:08:00:00	-0.080940	-0.082535	-0.076082	-0.078258
01:08:00:00	-0.084091	-0.078670	-0.078444	-0.075803
01:08:00:00	-0.075148	-0.074666	-0.083730	-0.077308
01:08:00:00	-0.077720	-0.083163	-0.083907	-0.076208
01:08:00:00	-0.077685	-0.080858	-0.076895	-0.083067
01:08:00:00	-0.081507	-0.083832	-0.075275	-0.078372
01:08:00:00	-0.078487	-0.079306	-0.074662	-0.078451
01:08:00:00	-0.074927	-0.079341	-0.077127	-0.080412
01:08:00:00	-0.082628	-0.082817	-0.075569	-0.074931
01:08:00:00	-0.079641	-0.083505	-0.084224	-0.084441
01:08:00:00	-0.077479	-0.077495	-0.083119	-0.080605
01:08:00:00	-0.080060	-0.079266	-0.074755	-0.080349
01:08:00:00	-0.078696	-0.081515	-0.075071	-0.076514
01:08:00:00	-0.083595	-0.081726	-0.079404	-0.082518
01:08:00:00	-0.083777	-0.076974	-0.083241	-0.079378
01:08:00:00	-0.075754	-0.078209	-0.080308	-0.076072
01:08:00:00	-0.078025	-0.075210	-0.084152	-0.081435
01:08:00:00	-0.078572	-0.080848	-0.079471	-0.078606
01:08:00:00	-0.083340	-0.083427	-0.079765	-0.074943
01:08:00:00	-0.076361	-0.078539	-0.082808	-0.075200
01:08:00:00	-0.084416	-0.079654	-0.082509	-0.082927
01:08:00:00	-0.083149	-0.079379	-0.079555	-0.079497
01:08:00:00	-0.081577	-0.084341	-0.076774	-0.078510
01:08:00:00	-0.074804	-0.082952	-0.076581	-0.078983
01:08:00:00	-0.077619	-0.075433	-0.076686	-0.082028
01:08:00:00	-0.083501	-0.077734	-0.074905	-0.076306
01:08:00:00	-0.076241	-0.077975	-0.075057	-0.078657
01:08:00:00	-0.083299	-0.079990	-0.075367	-0.082825
01:08:00:00	-0.082375	-0.084107	-0.081490	-0.076806
01:08:00:00	-0.078805	-0.080276	-0.076126	-0.080326
01:08:00:00	-0.084071	-0.084391	-0.078955	-0.080595
01:08:00:00	-0.082997	-0.084086	-0.074844	-0.078922
01:08:00:00	-0.074677	-0.078138	-0.075019	-0.077580
01:08:00:00	-0.076093	-0.078063	-0.075976	-0.076435
01:08:00:00	-0.078944	-0.081590	-0.083358	-0.076750
01:08:00:00	-0.076489	-0.077326	-0.084279	-0.076733
01:08:00:00	-0.078685	-0.075645	-0.077881	-0.080592
01:08:00:00	-0.080929	-0.079839	-0.082795	-0.078412
01:08:00:00	-0.076950	-0.080179	-0.077745	-0.079350
01:08:00:00	-0.081937	-0.076800	-0.084240	-0.077343
01:08:00:00	-0.075306	-0.082295	-0.075000	-0.078744
01:08:00:00	-0.077985	-0.083254	-0.077706	-0.083036
01:08:00:00	-0.082893	-0.077118	-0.078652	-0.079075
01:08:00:00	-0.082805	-0.080592	-0.082149	-0.077996
01:08:00:00	-0.082662	-0.080974	-0.082496	-0.076069
01:08:00:00	-0.077459	-0.074464	-0.078367	-0.079630
01:08:00:00	-0.076223	-0.080111	-0.080263	-0.081117
01:08:00:00	-0.081279	-0.078065	-0.075456	-0.076075
01:08:00:00	-0.084223	-0.076915	-0.081027	-0.076092
01:08:00:00	-0.082822	-0.079173	-0.078716	-0.078959
01:08:00:00	-0.075742	-0.082539	-0.076086	-0.078536
01:08:00:00	-0.080023	-0.083648	-0.075487	-0.078302
01:08:00:00	-0.083895	-0.083537	-0.080232	-0.079792
01:08:00:00	-0.081588	-0.075958	-0.078227	-0.075999
01:08:00:00	-0.076695	-0.076639	-0.075954	-0.081199
01:08:00:00	-0.080085	-0.079820	-0.082869	-0.081835
01:08:00:00	-0.079012	-0.080182	-0.080266	-0.074861
01:08:00:00	-0.081854	-0.082177	-0.079440	-0.077558
01:08:00:00	-0.083331	-0.082240	-0.079532	-0.077766
01:08:00:00	-0.075473	-0.082313	-0.076376	-0.077294
01:08:00:00	-0.075078	-0.081556	-0.081679	-0.084113
01:08:00:00	-0.082808	-0.083997	-0.082848	-0.081892
01:08:00:00	-0.075657	-0.083038	-0.079875	-0.078670
01:08:00:00	-0.074886	-0.076253	-0.081968	-0.076428
01:08:00:00	-0.081190	-0.083187	-0.080964	-0.078318
01:08:00:00	-0.083211	-0.077197	-0.077442	-0.082139
01:08:00:00	-0.084231	-0.079583	-0.076832	-0.082191
01:08:00:00	-0.078120	-0.077517	-0.079995	-0.074721
01:08:00:00	-0.077816	-0.077894	-0.077048	-0.075299
01:08:00:00	-0.084008	-0.081838	-0.081533	-0.081631
01:08:00:00	-0.081743	-0.079873	-0.080473	-0.084190
01:08:00:00	-0.077350	-0.078393	-0.077521	-0.080809
01:08:00:00	-0.082723	-0.076184	-0.079312	-0.076748
