粉尘名称：
粉尘粒径：
粉尘含水量：

初始含氧量：
初始压力：
测试浓度：
点火能量：
反应器体积：0.000Lt1Pmax=0.628149,t=0.274700S(dp/dt)max=698.164321/S  kst=698.164321.m/St2Pmax=0.631058,t=0.274700S(dp/dt)max=815.362646/S  kst=815.362646.m/St3Pmax=0.636721,t=0.324900S(dp/dt)max=947.061579/S  kst=947.061579.m/S时间	t1	t2	t3	t4
D:H:M:S				
01:08:00:00	0.601856	0.600681	0.523831	0.580742
01:08:00:00	0.595284	0.603315	0.525581	0.581230
01:08:00:00	0.599891	0.602283	0.532707	0.580893
01:08:00:00	0.598338	0.596510	0.525925	0.574919
01:08:00:00	0.594154	0.604766	0.533205	0.579463
01:08:00:00	0.599580	0.600190	0.528806	0.578419
01:08:00:00	0.602729	0.603479	0.532084	0.575188
01:08:00:00	0.603144	0.601926	0.525344	0.579756
01:08:00:00	0.596761	0.597768	0.528584	0.585054
01:08:00:00	0.593840	0.596829	0.534792	0.577716
01:08:00:00	0.601542	0.596037	0.525997	0.576469
01:08:00:00	0.599675	0.604269	0.533788	0.578639
01:08:00:00	0.596403	0.598171	0.526455	0.579117
01:08:00:00	0.600009	0.595995	0.527661	0.580494
01:08:00:00	0.594412	0.597113	0.532659	0.583811
01:08:00:00	0.598352	0.595536	0.533174	0.580442
01:08:00:00	0.600164	0.598068	0.534234	0.580550
01:08:00:00	0.600045	0.604500	0.529705	0.583777
01:08:00:00	0.600836	0.597769	0.528575	0.586922
01:08:00:00	0.594368	0.602478	0.533950	0.578926
01:08:00:00	0.598401	0.603856	0.537419	0.584502
01:08:00:00	0.598751	0.600296	0.537445	0.585402
01:08:00:00	0.601362	0.600828	0.535666	0.582662
01:08:00:00	0.600744	0.603643	0.536081	0.585116
01:08:00:00	0.600916	0.602021	0.538542	0.587378
01:08:00:00	0.595425	0.601281	0.535525	0.585706
01:08:00:00	0.603611	0.601058	0.535924	0.585017
01:08:00:00	0.602877	0.598530	0.534994	0.579713
01:08:00:00	0.603287	0.604131	0.534645	0.588337
01:08:00:00	0.598548	0.604650	0.538917	0.584878
01:08:00:00	0.598116	0.603312	0.540107	0.582609
01:08:00:00	0.601250	0.601849	0.540764	0.589111
01:08:00:00	0.597198	0.599527	0.535579	0.588334
01:08:00:00	0.595520	0.602024	0.537537	0.580890
01:08:00:00	0.599294	0.596329	0.536595	0.583222
01:08:00:00	0.595120	0.601464	0.537345	0.588769
01:08:00:00	0.601786	0.601320	0.542912	0.580662
01:08:00:00	0.600340	0.597426	0.539399	0.587512
01:08:00:00	0.597553	0.598757	0.542580	0.580873
01:08:00:00	0.595246	0.599735	0.534709	0.590437
01:08:00:00	0.598918	0.601978	0.534588	0.585504
01:08:00:00	0.594726	0.598284	0.534779	0.588604
01:08:00:00	0.596381	0.604127	0.538870	0.581280
01:08:00:00	0.599785	0.594906	0.539175	0.586922
01:08:00:00	0.600202	0.604649	0.539179	0.589797
01:08:00:00	0.593963	0.601033	0.538266	0.587022
01:08:00:00	0.600895	0.602970	0.537385	0.585768
01:08:00:00	0.596025	0.600409	0.538275	0.584001
01:08:00:00	0.600509	0.604017	0.538184	0.587502
01:08:00:00	0.597135	0.594972	0.538025	0.590805
01:08:00:00	0.599818	0.601832	0.538069	0.582945
01:08:00:00	0.595042	0.602191	0.545732	0.589369
01:08:00:00	0.594562	0.598225	0.545350	0.583762
01:08:00:00	0.601323	0.601811	0.544339	0.590297
01:08:00:00	0.597429	0.602145	0.540056	0.589229
01:08:00:00	0.601000	0.602403	0.547774	0.584954
01:08:00:00	0.594419	0.600646	0.543684	0.586558
01:08:00:00	0.597418	0.597804	0.545422	0.591221
01:08:00:00	0.595382	0.601735	0.543092	0.583832
01:08:00:00	0.597702	0.598697	0.548902	0.589895
01:08:00:00	0.601607	0.601706	0.547632	0.588392
01:08:00:00	0.595473	0.596314	0.546448	0.584213
01:08:00:00	0.601912	0.599205	0.544582	0.590490
01:08:00:00	0.597193	0.600085	0.544009	0.587492
01:08:00:00	0.601495	0.600461	0.549140	0.591556
01:08:00:00	0.603358	0.597903	0.545424	0.587669
01:08:00:00	0.603262	0.597527	0.543271	0.592858
01:08:00:00	0.595860	0.604065	0.547001	0.591243
01:08:00:00	0.595267	0.595361	0.549593	0.590774
01:08:00:00	0.600890	0.601635	0.544080	0.586247
01:08:00:00	0.594738	0.602815	0.547140	0.594204
01:08:00:00	0.603286	0.594898	0.546443	0.590681
01:08:00:00	0.601240	0.601996	0.551259	0.594032
01:08:00:00	0.600435	0.597556	0.551887	0.594675
01:08:00:00	0.598260	0.598523	0.547659	0.590916
01:08:00:00	0.596429	0.599798	0.545260	0.590018
01:08:00:00	0.595072	0.597989	0.549740	0.592384
01:08:00:00	0.595545	0.596812	0.547141	0.595797
01:08:00:00	0.595846	0.602678	0.553900	0.589537
01:08:00:00	0.597474	0.595286	0.546394	0.594201
01:08:00:00	0.602887	0.604581	0.551078	0.588234
01:08:00:00	0.597843	0.601273	0.547546	0.594813
01:08:00:00	0.601389	0.594825	0.550451	0.590959
01:08:00:00	0.601474	0.596790	0.549509	0.594738
01:08:00:00	0.593467	0.599904	0.546966	0.596804
01:08:00:00	0.594262	0.598254	0.551073	0.593434
01:08:00:00	0.594428	0.599708	0.553337	0.596312
01:08:00:00	0.599190	0.597450	0.553455	0.589160
01:08:00:00	0.603007	0.601050	0.550389	0.589735
01:08:00:00	0.598399	0.596228	0.549613	0.591020
01:08:00:00	0.601288	0.602841	0.557576	0.597166
01:08:00:00	0.598517	0.598878	0.552098	0.596805
01:08:00:00	0.593623	0.599061	0.553536	0.589037
01:08:00:00	0.602889	0.601611	0.554881	0.598017
01:08:00:00	0.596397	0.599860	0.553869	0.589918
01:08:00:00	0.597319	0.601358	0.551640	0.593906
01:08:00:00	0.602196	0.603054	0.554258	0.594579
01:08:00:00	0.594491	0.596629	0.556717	0.589582
01:08:00:00	0.600267	0.598915	0.557627	0.592066
01:08:00:00	0.597787	0.600689	0.559739	0.590123
01:08:00:00	0.599071	0.598780	0.556803	0.589381
01:08:00:00	0.597119	0.600113	0.554530	0.596127
01:08:00:00	0.601882	0.599565	0.553312	0.589098
01:08:00:00	0.595535	0.595514	0.552921	0.591611
01:08:00:00	0.600025	0.604057	0.554097	0.592023
01:08:00:00	0.594223	0.596071	0.553908	0.594931
01:08:00:00	0.594781	0.597321	0.554499	0.599130
01:08:00:00	0.601001	0.604057	0.553999	0.598978
01:08:00:00	0.602193	0.595932	0.553535	0.592888
01:08:00:00	0.601491	0.603546	0.556282	0.593473
01:08:00:00	0.597636	0.594855	0.553508	0.596924
01:08:00:00	0.600589	0.599471	0.561945	0.596619
01:08:00:00	0.598819	0.602557	0.555309	0.598813
01:08:00:00	0.595982	0.597389	0.563663	0.598254
01:08:00:00	0.593742	0.603753	0.563869	0.597805
01:08:00:00	0.593409	0.603788	0.561786	0.597030
01:08:00:00	0.599491	0.598642	0.561112	0.593518
01:08:00:00	0.598494	0.598109	0.561144	0.592541
01:08:00:00	0.594755	0.603823	0.555977	0.598882
01:08:00:00	0.601613	0.598574	0.560495	0.599769
01:08:00:00	0.602333	0.595316	0.556243	0.597233
01:08:00:00	0.602923	0.596027	0.561964	0.594135
01:08:00:00	0.594800	0.601434	0.563602	0.592100
01:08:00:00	0.593185	0.602015	0.566168	0.596126
01:08:00:00	0.602325	0.603066	0.565454	0.592880
01:08:00:00	0.602776	0.596213	0.561979	0.596799
01:08:00:00	0.600586	0.601585	0.559453	0.594670
01:08:00:00	0.594941	0.598620	0.559458	0.595628
01:08:00:00	0.593567	0.603540	0.562230	0.591966
01:08:00:00	0.594290	0.600147	0.563914	0.600525
01:08:00:00	0.598861	0.602632	0.564556	0.597248
01:08:00:00	0.593391	0.603403	0.562814	0.594430
01:08:00:00	0.597449	0.598773	0.565613	0.595830
01:08:00:00	0.601160	0.601854	0.564238	0.598493
01:08:00:00	0.593178	0.600409	0.567117	0.598930
01:08:00:00	0.601171	0.602240	0.566111	0.592664
01:08:00:00	0.598843	0.595100	0.568966	0.595235
01:08:00:00	0.599077	0.603222	0.562192	0.599011
01:08:00:00	0.595627	0.596204	0.560549	0.593818
01:08:00:00	0.601035	0.595989	0.568640	0.592848
01:08:00:00	0.600845	0.600474	0.563640	0.601608
01:08:00:00	0.596766	0.600896	0.561270	0.595592
01:08:00:00	0.597927	0.595176	0.562491	0.594371
01:08:00:00	0.594769	0.599621	0.570542	0.598436
01:08:00:00	0.597899	0.602672	0.562542	0.602681
01:08:00:00	0.595551	0.601176	0.568028	0.596235
01:08:00:00	0.597098	0.599125	0.566064	0.596146
01:08:00:00	0.593138	0.602059	0.563205	0.600722
01:08:00:00	0.599437	0.598095	0.571200	0.593447
01:08:00:00	0.595225	0.597953	0.567934	0.602096
01:08:00:00	0.597863	0.594294	0.568595	0.598712
01:08:00:00	0.596186	0.595044	0.571281	0.600267
01:08:00:00	0.602222	0.594910	0.570344	0.601910
01:08:00:00	0.602889	0.603687	0.572514	0.596463
01:08:00:00	0.601665	0.603062	0.565765	0.597538
01:08:00:00	0.597398	0.601928	0.572212	0.602345
01:08:00:00	0.597119	0.602805	0.566898	0.601566
01:08:00:00	0.597840	0.595779	0.567646	0.595814
01:08:00:00	0.602411	0.600266	0.567917	0.601805
01:08:00:00	0.594194	0.596872	0.571240	0.598007
01:08:00:00	0.593533	0.603881	0.574181	0.601783
01:08:00:00	0.593046	0.596145	0.573966	0.596135
01:08:00:00	0.596269	0.602787	0.566488	0.601295
01:08:00:00	0.598484	0.599107	0.566239	0.594624
01:08:00:00	0.600677	0.603610	0.572154	0.599730
01:08:00:00	0.600133	0.599400	0.569163	0.602098
01:08:00:00	0.597843	0.598900	0.569227	0.594692
01:08:00:00	0.593940	0.598676	0.575105	0.599909
01:08:00:00	0.599622	0.600168	0.570476	0.602195
01:08:00:00	0.596318	0.595032	0.567909	0.601465
01:08:00:00	0.596503	0.595559	0.573516	0.597001
01:08:00:00	0.596180	0.600478	0.575939	0.601825
01:08:00:00	0.595476	0.598953	0.568667	0.601678
01:08:00:00	0.602177	0.599250	0.574416	0.599009
01:08:00:00	0.596119	0.603009	0.571540	0.604259
01:08:00:00	0.594832	0.603704	0.572248	0.599751
01:08:00:00	0.597385	0.601705	0.577336	0.601309
01:08:00:00	0.595813	0.597676	0.578133	0.597905
01:08:00:00	0.594743	0.598496	0.572592	0.599278
01:08:00:00	0.594050	0.597860	0.577918	0.602655
01:08:00:00	0.598173	0.597105	0.575186	0.599812
01:08:00:00	0.597271	0.598885	0.574886	0.603240
01:08:00:00	0.599925	0.603303	0.577449	0.603586
01:08:00:00	0.593875	0.594346	0.577203	0.600334
01:08:00:00	0.601600	0.598824	0.571497	0.603014
01:08:00:00	0.598934	0.595564	0.574677	0.598180
01:08:00:00	0.601947	0.602523	0.571130	0.594760
01:08:00:00	0.594230	0.600037	0.575592	0.598938
01:08:00:00	0.593442	0.599502	0.580166	0.599425
01:08:00:00	0.600526	0.596911	0.578018	0.601187
01:08:00:00	0.602273	0.596851	0.575412	0.601852
01:08:00:00	0.599994	0.594842	0.576085	0.604113
01:08:00:00	0.601334	0.595744	0.574866	0.603478
01:08:00:00	0.596895	0.602052	0.581253	0.595130
01:08:00:00	0.601597	0.596318	0.572854	0.597009
01:08:00:00	0.597762	0.601354	0.582243	0.595043
01:08:00:00	0.596607	0.596732	0.582792	0.596333
01:08:00:00	0.596657	0.600510	0.579780	0.595338
01:08:00:00	0.600428	0.598390	0.583167	0.598892
01:08:00:00	0.598418	0.596376	0.581652	0.599082
01:08:00:00	0.596546	0.602671	0.578772	0.604902
01:08:00:00	0.597984	0.601466	0.575671	0.601392
01:08:00:00	0.596497	0.595149	0.576844	0.598645
01:08:00:00	0.600737	0.597694	0.581951	0.603838
01:08:00:00	0.594325	0.597485	0.575284	0.604108
01:08:00:00	0.602451	0.600021	0.579267	0.602041
01:08:00:00	0.596761	0.596483	0.582193	0.603389
01:08:00:00	0.592652	0.596920	0.584843	0.596431
01:08:00:00	0.595316	0.596121	0.578521	0.597835
01:08:00:00	0.601393	0.603310	0.577500	0.599106
01:08:00:00	0.592662	0.595899	0.575593	0.595198
01:08:00:00	0.598472	0.601921	0.580918	0.603042
01:08:00:00	0.594646	0.596403	0.577767	0.601375
01:08:00:00	0.596486	0.597255	0.583234	0.598472
01:08:00:00	0.596850	0.599040	0.583273	0.601170
01:08:00:00	0.594394	0.602840	0.580776	0.600487
01:08:00:00	0.599893	0.597740	0.584231	0.601583
01:08:00:00	0.600268	0.594882	0.581349	0.597993
01:08:00:00	0.593052	0.596360	0.586284	0.598565
01:08:00:00	0.595028	0.593853	0.582902	0.603537
01:08:00:00	0.598680	0.601870	0.578199	0.600662
01:08:00:00	0.598307	0.594780	0.578140	0.598764
01:08:00:00	0.598797	0.603122	0.587007	0.598611
01:08:00:00	0.595917	0.603460	0.586390	0.596985
01:08:00:00	0.595847	0.599138	0.581868	0.603419
01:08:00:00	0.598504	0.595905	0.582527	0.600677
01:08:00:00	0.592959	0.601283	0.587276	0.602909
01:08:00:00	0.601749	0.602107	0.588077	0.602311
01:08:00:00	0.602204	0.596399	0.580821	0.594935
01:08:00:00	0.592950	0.603517	0.582488	0.604501
01:08:00:00	0.599224	0.597171	0.583628	0.598010
01:08:00:00	0.598533	0.603065	0.587378	0.596987
01:08:00:00	0.597755	0.594826	0.585940	0.603857
01:08:00:00	0.601904	0.600343	0.583693	0.596423
01:08:00:00	0.599146	0.593903	0.580603	0.595283
01:08:00:00	0.595290	0.593816	0.587325	0.603059
01:08:00:00	0.599030	0.597689	0.585404	0.602548
01:08:00:00	0.596947	0.598123	0.585983	0.604273
01:08:00:00	0.602171	0.594228	0.589181	0.604389
01:08:00:00	0.601121	0.600446	0.585759	0.598559
01:08:00:00	0.599057	0.594998	0.585302	0.597041
01:08:00:00	0.598320	0.598106	0.587330	0.599584
01:08:00:00	0.596870	0.597629	0.581297	0.602940
01:08:00:00	0.600435	0.596444	0.587820	0.602124
01:08:00:00	0.594838	0.593823	0.585839	0.597959
01:08:00:00	0.595186	0.600017	0.584859	0.598764
01:08:00:00	0.602203	0.596162	0.588016	0.599766
01:08:00:00	0.592461	0.594658	0.589138	0.602052
01:08:00:00	0.595887	0.600516	0.586421	0.602148
01:08:00:00	0.600714	0.598363	0.585016	0.603461
01:08:00:00	0.596418	0.602443	0.590916	0.603995
01:08:00:00	0.600342	0.601973	0.586651	0.598989
01:08:00:00	0.602213	0.602571	0.585287	0.600298
01:08:00:00	0.595624	0.599514	0.591662	0.595123
01:08:00:00	0.599567	0.600920	0.591498	0.602910
01:08:00:00	0.596640	0.598934	0.583247	0.602825
01:08:00:00	0.594522	0.595373	0.588383	0.600649
01:08:00:00	0.596254	0.602077	0.585808	0.602025
01:08:00:00	0.596504	0.603228	0.592417	0.597817
01:08:00:00	0.597472	0.594964	0.587132	0.596450
01:08:00:00	0.599137	0.599494	0.590444	0.596906
01:08:00:00	0.594358	0.600788	0.590290	0.601220
01:08:00:00	0.594411	0.601740	0.592378	0.596304
01:08:00:00	0.598996	0.602660	0.592168	0.603672
01:08:00:00	0.597996	0.600370	0.591959	0.598434
01:08:00:00	0.597531	0.600656	0.585933	0.603921
01:08:00:00	0.599209	0.600086	0.587778	0.602557
01:08:00:00	0.599996	0.598132	0.586299	0.597835
01:08:00:00	0.593854	0.602969	0.587982	0.598916
01:08:00:00	0.600683	0.593522	0.586182	0.596643
01:08:00:00	0.599436	0.602670	0.588228	0.602059
01:08:00:00	0.592271	0.599194	0.589514	0.603155
01:08:00:00	0.601270	0.603034	0.589637	0.596183
01:08:00:00	0.600458	0.601938	0.590401	0.595494
01:08:00:00	0.593111	0.597381	0.591818	0.600279
01:08:00:00	0.601520	0.596067	0.595815	0.596974
01:08:00:00	0.594168	0.595652	0.588577	0.604086
01:08:00:00	0.594264	0.596419	0.586160	0.596371
01:08:00:00	0.597852	0.596392	0.594077	0.603547
01:08:00:00	0.599315	0.601207	0.595073	0.597903
01:08:00:00	0.596106	0.599245	0.591280	0.596920
01:08:00:00	0.600816	0.594990	0.596366	0.598292
01:08:00:00	0.594732	0.600849	0.590938	0.594676
01:08:00:00	0.592246	0.600344	0.587685	0.598740
01:08:00:00	0.596711	0.596560	0.592021	0.599620
01:08:00:00	0.599564	0.601820	0.592307	0.595895
01:08:00:00	0.601154	0.600359	0.594376	0.601838
01:08:00:00	0.597941	0.600229	0.592643	0.601772
01:08:00:00	0.595183	0.597618	0.597341	0.600373
01:08:00:00	0.592705	0.597140	0.593721	0.599447
01:08:00:00	0.597963	0.595883	0.593667	0.595865
01:08:00:00	0.597990	0.596587	0.593703	0.604359
01:08:00:00	0.594902	0.601879	0.595030	0.599934
01:08:00:00	0.597806	0.595722	0.597013	0.600924
01:08:00:00	0.592810	0.593544	0.594993	0.602559
01:08:00:00	0.598393	0.598498	0.592679	0.602860
01:08:00:00	0.594127	0.600974	0.598109	0.602873
01:08:00:00	0.592846	0.597916	0.597179	0.594854
01:08:00:00	0.598395	0.600679	0.593188	0.600682
01:08:00:00	0.595147	0.594840	0.589946	0.603331
01:08:00:00	0.595442	0.594979	0.595907	0.601695
01:08:00:00	0.594402	0.598032	0.596543	0.604337
01:08:00:00	0.594333	0.599538	0.593279	0.603773
01:08:00:00	0.598673	0.594179	0.590037	0.602135
01:08:00:00	0.598079	0.598570	0.593532	0.599136
01:08:00:00	0.592775	0.597751	0.591140	0.602236
01:08:00:00	0.600730	0.601847	0.593223	0.599102
01:08:00:00	0.601124	0.596187	0.593243	0.597342
01:08:00:00	0.599490	0.602593	0.596116	0.596765
01:08:00:00	0.595751	0.596103	0.597772	0.599800
01:08:00:00	0.597777	0.600497	0.593542	0.601625
01:08:00:00	0.596778	0.595884	0.592173	0.596440
01:08:00:00	0.595694	0.599100	0.595756	0.603280
01:08:00:00	0.595650	0.594467	0.594391	0.597020
01:08:00:00	0.598205	0.598784	0.599106	0.602955
01:08:00:00	0.599209	0.600250	0.592634	0.600831
01:08:00:00	0.594657	0.596399	0.596697	0.594825
01:08:00:00	0.597739	0.596459	0.596207	0.598229
01:08:00:00	0.598621	0.598185	0.593515	0.596088
01:08:00:00	0.593686	0.593328	0.592286	0.595666
01:08:00:00	0.599504	0.597280	0.596659	0.597112
01:08:00:00	0.596155	0.597751	0.593074	0.604331
01:08:00:00	0.597952	0.594673	0.594500	0.595785
01:08:00:00	0.601068	0.601594	0.595002	0.599352
01:08:00:00	0.591989	0.597456	0.598343	0.598023
01:08:00:00	0.593182	0.595323	0.600501	0.601193
01:08:00:00	0.601338	0.597680	0.592931	0.602047
01:08:00:00	0.599582	0.598351	0.595245	0.594461
01:08:00:00	0.597629	0.599208	0.596017	0.598601
01:08:00:00	0.592885	0.593882	0.594545	0.597818
01:08:00:00	0.596796	0.594809	0.597489	0.598070
01:08:00:00	0.594915	0.594562	0.594417	0.598568
01:08:00:00	0.600528	0.597719	0.593142	0.601728
01:08:00:00	0.596025	0.599863	0.592861	0.604023
01:08:00:00	0.600909	0.595813	0.598799	0.595498
01:08:00:00	0.601643	0.602649	0.596242	0.602070
01:08:00:00	0.597084	0.602723	0.594624	0.595157
01:08:00:00	0.594238	0.597555	0.594715	0.595343
01:08:00:00	0.599244	0.602715	0.597168	0.604235
01:08:00:00	0.600722	0.595675	0.596955	0.598988
01:08:00:00	0.599170	0.596076	0.600610	0.600439
01:08:00:00	0.595351	0.599038	0.593868	0.600363
01:08:00:00	0.593430	0.601465	0.596416	0.601144
01:08:00:00	0.600994	0.598621	0.595405	0.598029
01:08:00:00	0.600417	0.596792	0.598820	0.603820
01:08:00:00	0.600288	0.594331	0.600729	0.598167
01:08:00:00	0.600355	0.599588	0.601114	0.603407
01:08:00:00	0.593765	0.598872	0.595275	0.599539
01:08:00:00	0.593365	0.596198	0.596059	0.597099
01:08:00:00	0.598723	0.598245	0.599362	0.600505
01:08:00:00	0.593243	0.594026	0.602043	0.603353
01:08:00:00	0.596765	0.601520	0.596623	0.603515
01:08:00:00	0.596277	0.596283	0.597867	0.597807
01:08:00:00	0.596965	0.600041	0.594972	0.594396
01:08:00:00	0.599318	0.600002	0.602840	0.598019
01:08:00:00	0.598587	0.601219	0.600962	0.603479
01:08:00:00	0.598217	0.595474	0.597026	0.597073
01:08:00:00	0.579710	0.586252	0.581191	0.607951
01:08:00:00	0.571716	0.588369	0.617165	0.590183
01:08:00:00	0.559291	0.577819	0.578988	0.607239
01:08:00:00	0.599463	0.616040	0.603681	0.608014
01:08:00:00	0.612397	0.604728	0.636721	0.621927
01:08:00:00	0.604008	0.583674	0.597736	0.645752
01:08:00:00	0.581519	0.583841	0.611512	0.572510
01:08:00:00	0.597265	0.604549	0.600663	0.597708
01:08:00:00	0.581174	0.583377	0.597514	0.613845
01:08:00:00	0.619602	0.597686	0.593701	0.603590
01:08:00:00	0.597289	0.601027	0.595533	0.602778
01:08:00:00	0.594452	0.595859	0.603676	0.602116
01:08:00:00	0.592212	0.602223	0.603672	0.601565
01:08:00:00	0.591879	0.602258	0.601378	0.600690
01:08:00:00	0.597961	0.597112	0.600493	0.597078
01:08:00:00	0.596964	0.596579	0.600313	0.596001
01:08:00:00	0.593225	0.602293	0.594934	0.602245
01:08:00:00	0.600083	0.597044	0.599240	0.603035
01:08:00:00	0.600803	0.593786	0.594775	0.600403
01:08:00:00	0.601393	0.594497	0.600283	0.597210
01:08:00:00	0.593270	0.599904	0.601707	0.595080
01:08:00:00	0.591655	0.600485	0.604059	0.599013
01:08:00:00	0.600795	0.601536	0.603132	0.595675
01:08:00:00	0.601246	0.594683	0.599442	0.599503
01:08:00:00	0.599056	0.600055	0.596700	0.597284
01:08:00:00	0.593411	0.597090	0.596490	0.598152
01:08:00:00	0.592037	0.602010	0.599046	0.594402
01:08:00:00	0.592760	0.598617	0.600514	0.602874
01:08:00:00	0.597331	0.601102	0.600939	0.599510
01:08:00:00	0.591861	0.601873	0.598980	0.596606
01:08:00:00	0.595919	0.597243	0.601562	0.597922
01:08:00:00	0.599630	0.600324	0.599970	0.600501
01:08:00:00	0.591648	0.598879	0.602630	0.600856
01:08:00:00	0.599641	0.600710	0.601407	0.594508
01:08:00:00	0.597313	0.593570	0.604043	0.596997
01:08:00:00	0.597547	0.601692	0.597049	0.600694
01:08:00:00	0.594097	0.594674	0.595187	0.595423
01:08:00:00	0.599505	0.594459	0.603059	0.594374
01:08:00:00	0.599315	0.598944	0.597839	0.603058
01:08:00:00	0.595236	0.599366	0.595248	0.596965
01:08:00:00	0.596397	0.593646	0.596249	0.595670
01:08:00:00	0.593239	0.598091	0.604079	0.599661
01:08:00:00	0.596369	0.601142	0.595858	0.603832
01:08:00:00	0.594021	0.599646	0.601121	0.597314
01:08:00:00	0.595568	0.597595	0.598935	0.597154
01:08:00:00	0.591608	0.600529	0.595855	0.601660
01:08:00:00	0.597907	0.596565	0.603627	0.594315
01:08:00:00	0.593695	0.596423	0.600138	0.602896
01:08:00:00	0.596333	0.592764	0.600576	0.599445
01:08:00:00	0.594656	0.593514	0.603038	0.600934
01:08:00:00	0.600692	0.593380	0.601877	0.602512
01:08:00:00	0.601359	0.602157	0.603822	0.597000
01:08:00:00	0.600135	0.601532	0.596849	0.598011
01:08:00:00	0.595868	0.600398	0.603072	0.602756
01:08:00:00	0.595589	0.601275	0.597532	0.601915
01:08:00:00	0.596310	0.594249	0.598054	0.596103
01:08:00:00	0.600881	0.598736	0.598094	0.602035
01:08:00:00	0.592664	0.595342	0.601187	0.598178
01:08:00:00	0.592003	0.602351	0.603898	0.601896
01:08:00:00	0.591516	0.594615	0.603454	0.596192
01:08:00:00	0.594739	0.601257	0.595747	0.601296
01:08:00:00	0.596954	0.597577	0.595271	0.594571
01:08:00:00	0.599147	0.602080	0.600958	0.599623
01:08:00:00	0.598603	0.597870	0.597741	0.601938
01:08:00:00	0.596313	0.597370	0.597580	0.594480
01:08:00:00	0.592410	0.597146	0.603232	0.599647
01:08:00:00	0.598092	0.598638	0.598379	0.601883
01:08:00:00	0.594788	0.593502	0.595589	0.601104
01:08:00:00	0.594973	0.594029	0.600972	0.596593
01:08:00:00	0.594650	0.598948	0.603174	0.601370
01:08:00:00	0.593946	0.597423	0.595680	0.601177
01:08:00:00	0.600647	0.597720	0.601209	0.598463
01:08:00:00	0.594589	0.601479	0.598112	0.603668
01:08:00:00	0.593302	0.602174	0.598601	0.599118
01:08:00:00	0.595855	0.600175	0.603470	0.600634
01:08:00:00	0.594283	0.596146	0.604050	0.597189
01:08:00:00	0.593213	0.596966	0.598292	0.598522
01:08:00:00	0.592520	0.596330	0.603401	0.601860
01:08:00:00	0.596643	0.595575	0.600454	0.598979
01:08:00:00	0.595741	0.597355	0.599939	0.602370
01:08:00:00	0.598395	0.601773	0.602288	0.602680
01:08:00:00	0.592345	0.592816	0.601829	0.599392
01:08:00:00	0.600070	0.597294	0.595910	0.602039
01:08:00:00	0.597404	0.594034	0.598878	0.597172
01:08:00:00	0.600417	0.600993	0.595120	0.593720
01:08:00:00	0.592700	0.598507	0.599372	0.597866
01:08:00:00	0.591912	0.597972	0.603736	0.598323
01:08:00:00	0.598996	0.595381	0.601379	0.600055
01:08:00:00	0.600743	0.595321	0.598565	0.600692
01:08:00:00	0.598464	0.593312	0.599030	0.602927
01:08:00:00	0.599804	0.594214	0.597604	0.602265
01:08:00:00	0.595365	0.600522	0.603786	0.593892
01:08:00:00	0.600067	0.594788	0.595181	0.595747
01:08:00:00	0.596232	0.599824	0.604366	0.593758
01:08:00:00	0.595077	0.595202	0.604712	0.595026
01:08:00:00	0.595127	0.598980	0.601497	0.594009
01:08:00:00	0.598898	0.596860	0.604682	0.597543
01:08:00:00	0.596888	0.594846	0.602966	0.597714
01:08:00:00	0.595016	0.601141	0.599885	0.603515
01:08:00:00	0.596454	0.599936	0.596585	0.599988
01:08:00:00	0.594967	0.593619	0.597558	0.597224
01:08:00:00	0.599207	0.596164	0.602467	0.602402
01:08:00:00	0.592795	0.595955	0.595602	0.602658
01:08:00:00	0.600921	0.598491	0.599389	0.600577
01:08:00:00	0.595231	0.594953	0.602120	0.601913
01:08:00:00	0.591122	0.595390	0.604574	0.594943
01:08:00:00	0.593786	0.594591	0.598059	0.596337
01:08:00:00	0.599863	0.601780	0.596844	0.597599
01:08:00:00	0.591132	0.594369	0.594744	0.593682
01:08:00:00	0.596942	0.600391	0.599877	0.601519
01:08:00:00	0.593116	0.594873	0.596535	0.599845
01:08:00:00	0.594956	0.595725	0.601812	0.596942
01:08:00:00	0.595320	0.597510	0.601662	0.599640
01:08:00:00	0.592864	0.601310	0.598976	0.598957
01:08:00:00	0.598363	0.596210	0.602243	0.600053
01:08:00:00	0.598738	0.593352	0.599174	0.596463
01:08:00:00	0.591522	0.594830	0.603923	0.597035
01:08:00:00	0.593498	0.592323	0.600355	0.602007
01:08:00:00	0.597150	0.600340	0.595467	0.599132
01:08:00:00	0.596777	0.593250	0.595225	0.597234
01:08:00:00	0.597267	0.601592	0.603909	0.597081
01:08:00:00	0.594387	0.601930	0.603109	0.595455
01:08:00:00	0.594317	0.597608	0.598407	0.601889
01:08:00:00	0.596974	0.594375	0.598885	0.599147
01:08:00:00	0.591429	0.599753	0.603454	0.601379
01:08:00:00	0.600219	0.600577	0.604077	0.600781
01:08:00:00	0.600674	0.594869	0.596642	0.593405
01:08:00:00	0.591420	0.601987	0.598132	0.602971
01:08:00:00	0.597694	0.595641	0.599096	0.596480
01:08:00:00	0.597003	0.601535	0.602670	0.595457
01:08:00:00	0.596225	0.593296	0.601058	0.602327
01:08:00:00	0.600374	0.598813	0.598637	0.594893
01:08:00:00	0.597616	0.592373	0.595373	0.593753
01:08:00:00	0.593760	0.592286	0.601923	0.601529
01:08:00:00	0.597500	0.596159	0.599830	0.601018
